id,parent_id,active,selectable,name,"expertise (json type, only leaf nodes may be selected - parents are for to be stored for clarity)"
1,,0,0,Art & Creative,
2,1,0,0,2D Animation,
3,1,0,0,3D Animation,
4,1,0,0,Acting,
5,1,0,0,AR/VR Design,
6,1,0,0,Art Direction,
7,1,0,0,Audio Editing,
8,1,0,0,Audio Production,
9,1,0,0,Brand Design,
10,1,0,0,Caricatures & Portraits,
11,1,0,0,Cartoons & Comics,
12,1,0,0,Creative Direction,
13,1,0,0,Editorial Design,
14,1,0,0,Game Art,
15,1,0,0,Image Editing,
16,1,0,0,Local Photography,
17,1,0,0,Motion Graphics,
18,1,0,0,Music Composition,
19,1,0,0,Music Production,
20,1,0,0,Musician,
21,1,0,0,Packaging Design,
22,1,0,0,Pattern Design,
23,1,0,0,Presentation Design,
24,1,0,0,Product & Industrial Design,
25,1,0,0,Product Photography,
26,1,0,0,Video Editing,
27,1,0,0,Video Production,
28,1,0,0,Videography,
29,1,0,0,Visual Effects,
30,,0,0,Customer Service & Support,
31,30,0,0,Customer Service,
32,30,0,0,Tech Support,
33,,0,0,Data Science & Analytics,
34,33,0,0,Data Analytics,
35,33,0,0,Data Engineering,
36,33,0,0,Data Extraction,
37,33,0,0,Data Mining,
38,33,0,0,Data Processing,
39,33,0,0,Data Visualization,
40,33,0,0,Deep Learning,
41,33,0,0,Experimentation & Testing,
42,33,0,0,Knowledge Representation,
43,33,0,0,Machine Learning,
44,,0,0,"Engineering, Science & Building",
45,44,0,0,3D Modelling & Rendering,
46,44,0,0,Building Information Modelling,
47,44,0,0,Mathematics,
48,44,0,0,Sourcing & Procurement,
49,,0,0,General Support,
50,49,0,0,Accounting & Finance,
51,49,0,0,Legal Support,
52,49,0,0,Project Management,
53,49,0,0,Agile Coach,
54,,1,0,Information Systems & Networking,
55,54,0,0,Business Applications Development,
56,54,1,1,Cloud Engineering,
57,54,0,0,Database Administration,
58,54,1,1,DevOps Engineering,
59,54,1,1,Information Security,
60,54,0,0,IT Compliance,
61,54,0,0,IT Support,
62,54,0,0,Network Administration,
63,54,0,0,Network Security,
64,54,1,1,Solutions Architecture,
65,54,0,0,Systems Administration,
66,54,0,0,Systems Engineering,
67,,0,0,"Marketing, Sales & Communications",
68,67,0,0,Brand Strategy,
69,67,0,0,Campaign Management,
70,67,0,0,Community Management,
71,67,0,0,Content Strategy,
72,67,0,0,Digital Marketing,
73,67,0,0,Email Marketing,
74,67,0,0,Lead Generation,
75,67,0,0,Market Research,
76,67,0,0,Marketing Automation,
77,67,0,0,Marketing Strategy,
78,67,0,0,Public relations,
79,67,0,0,Sales & Business Development,
80,67,0,0,Search Engine Marketing,
81,67,0,0,Search Engine Optimisation,
82,67,0,0,Social Media Marketing,
83,67,0,0,Social Media Strategy,
84,67,0,0,Telemarketing,
85,,1,0,"Product, User Experience & Research",
86,85,1,1,Business Analysis,
87,85,1,1,Graphic Design,
88,85,0,0,Illustration,
89,85,0,0,Initiative Management,
90,85,0,0,Logo Design,
91,85,1,1,Product Management,
92,85,1,1,UI Mockups,"{""tools"": ""figma""}"
93,85,1,1,User Research,"{""activities"": ""interviews""}"
94,85,1,1,UX/UI Design,"{""tools"": [""figma"", ""adobe xd"", ""invision""], ""design-systems"": [""ant-design"", ""material-design""]}"
95,,1,0,"Software Development (inc. Web, Mobile)",
96,95,0,0,AR/VR Development,
97,95,1,1,Backend Development,"{""python ecosystem"": [""django"", ""flask""], ""java ecosystem"": [""java"", ""spring-boot""], ""languages"": [""golang"", ""python"", ""java""]}"
98,95,0,0,Blockchain Development,
99,95,0,0,CMS Development,
100,95,0,0,Database Development,
101,95,0,0,Desktop Software Development,
102,95,0,0,E-commerce Development,
103,95,0,0,Emerging Tech,
104,95,0,0,Firmware Development,
105,95,1,1,Frontend Development,"{""libraries"": [""react"", ""redux"", ""vue""], ""languages"": [""javascript"", ""typescript""], ""technologies"": [""graphql"", ""rest""]}"
106,95,1,1,Full-stack Development,"{""frameworks"": ""django""}"
107,95,0,0,Game Development,
108,95,0,0,Manual Testing,
109,95,0,0,Mobile App Development,
110,95,0,0,Mobile Design,
111,95,0,0,Mobile Game Development,
112,95,0,0,Prototyping,
113,95,0,0,Scripting & Automation,
114,95,1,1,Test Automation,"{""frameworks"": ""cypress""}"
115,95,0,0,Web Design,
116,,0,0,Translation,
117,116,0,0,General Language Translation,
118,116,0,0,Language Localisation,
119,116,0,0,Language Tutoring,
120,116,0,0,Legal Translation,
121,116,0,0,Technical Translation,
122,116,0,0,Business Writing,
123,,0,0,Writing,
124,123,0,0,Content Writing,
125,123,0,0,Copywriting,
126,123,0,0,Creative Writing,
127,123,0,0,Editing & Proofreading,
128,123,0,0,Ghostwriting,
129,123,0,0,Grant Writing,
130,123,0,0,Scriptwriting,
131,123,0,0,Technical Writing,